"slide","name","typeface","fontSizeHundredthsPt","bold","color"
"1","chapter-01",,,,
"1","page-title-01",,,,
"1","page-marker-1",,,,
"1","simulated-1",,,,
"1","lead-1",,,,
"1","requests-value",,,,
"1","requests-delta",,,,
"1","requests-label",,,,
"1","rate-value",,,,
"1","rate-delta",,,,
"1","rate-label",,,,
"1","median-value",,,,
"1","median-delta",,,,
"1","median-label",,,,
"1","table-1-h-0",,,,
"1","table-1-h-1",,,,
"1","table-1-h-2",,,,
"1","table-1-h-3",,,,
"1","table-1-0-0",,,,
"1","table-1-0-1",,,,
"1","table-1-0-2",,,,
"1","table-1-0-3",,,,
"1","table-1-1-0",,,,
"1","table-1-1-1",,,,
"1","table-1-1-2",,,,
"1","table-1-1-3",,,,
"1","table-1-2-0",,,,
"1","table-1-2-1",,,,
"1","table-1-2-2",,,,
"1","table-1-2-3",,,,
"1","table-1-3-0",,,,
"1","table-1-3-1",,,,
"1","table-1-3-2",,,,
"1","table-1-3-3",,,,
"1","table-1-caption",,,,
"1","boundary-1-head",,,,
"1","boundary-1-body",,,,
"1","boundary-1-subhead",,,,
"1","boundary-1-note",,,,
"2","chapter-02",,,,
"2","page-title-02",,,,
"2","page-marker-2",,,,
"2","simulated-2",,,,
"2","lead-2",,,,
"2","bar-title",,,,
"2","segment-label-0",,,,
"2","segment-label-1",,,,
"2","segment-label-2",,,,
"2","segment-label-3",,,,
"2","legend-0",,,,
"2","legend-1",,,,
"2","legend-2",,,,
"2","legend-3",,,,
"2","combined-stat",,,,
"2","combined-label",,,,
"2","combined-sub",,,,
"2","definitions-head",,,,
"2","definitions-body",,,,
"2","definitions-limit",,,,
"3","chapter-03",,,,
"3","page-title-03",,,,
"3","page-marker-3",,,,
"3","simulated-3",,,,
"3","lead-3",,,,
"3","compare-head-0",,,,
"3","compare-head-1",,,,
"3","compare-head-2",,,,
"3","compare-head-3",,,,
"3","compare-0-0",,,,
"3","compare-0-1",,,,
"3","compare-0-2",,,,
"3","compare-0-3",,,,
"3","compare-1-0",,,,
"3","compare-1-1",,,,
"3","compare-1-2",,,,
"3","compare-1-3",,,,
"3","compare-2-0",,,,
"3","compare-2-1",,,,
"3","compare-2-2",,,,
"3","compare-2-3",,,,
"3","compare-3-0",,,,
"3","compare-3-1",,,,
"3","compare-3-2",,,,
"3","compare-3-3",,,,
"3","compare-4-0",,,,
"3","compare-4-1",,,,
"3","compare-4-2",,,,
"3","compare-4-3",,,,
"3","compare-5-0",,,,
"3","compare-5-1",,,,
"3","compare-5-2",,,,
"3","compare-5-3",,,,
"3","recommendation-3",,,,
"3","recommendation-3-limit",,,,
"4","chapter-04",,,,
"4","page-title-04",,,,
"4","page-marker-4",,,,
"4","simulated-4",,,,
"4","lead-4",,,,
"4","phase-number-1—2",,,,
"4","phase-title-1—2",,,,
"4","phase-body-1—2",,,,
"4","phase-condition-label-1—2",,,,
"4","phase-condition-1—2",,,,
"4","phase-number-3—4",,,,
"4","phase-title-3—4",,,,
"4","phase-body-3—4",,,,
"4","phase-condition-label-3—4",,,,
"4","phase-condition-3—4",,,,
"4","phase-number-5—6",,,,
"4","phase-title-5—6",,,,
"4","phase-body-5—6",,,,
"4","phase-condition-label-5—6",,,,
"4","phase-condition-5—6",,,,
"4","evaluation-head",,,,
"4","evaluation-body",,,,
